fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_cash,portfolio_stocks,portfolio_bonds,portfolio_others,portfolio_preferred,portfolio_convertable,price_earnings,price_book,price_sales,price_cashflow,median_market_cap,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology
FABZX,Topic 5,Multialternative,Franklin Templeton Investments,1210000000,4.52,0,4,10/10/2013,Growth,Large,USD,2.36,1.57,37.94,37.5,16.05,0.31,0.07,7.37,18.54,2.91,1.95,10.53,"21,356.76",7.03,16.19,8.32,0.25,1.87,21.54,0.73,1.51,1.17,19.11,22.27
FACCX,Topic 5,Muni National Long,Nuveen,4060000000,3.17,2.76,3,2/9/2014,Growth,Medium,USD,1.52,0.85,0.13,0,99.19,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACDX,Topic 6,Health,Fidelity Investments,4030000000,10.37,0,4,9/2/1996,Growth,Large,USD,1.05,1.26,1.59,97.53,0,0,0.88,0,19.2,3.85,1.86,10.25,"27,310.85",0,0.12,0,0,0,97.51,0,0,0,0,2.37
FACEX,Topic 6,Large Growth,Frost Funds,311260000,15.59,0.05,4,6/29/2008,Growth,Large,USD,0.89,1.06,4.69,95.31,0,0,0,0,24.57,6.63,3.1,15.19,"161,749.69",1.45,23.35,16.07,0,1.64,15.9,0,3.53,1.98,5.08,31
FACFX,Topic 6,Target-Date 2000-2010,Fidelity Investments,420540000,6.41,1.66,3,7/23/2003,Blend,Large,USD,0.78,0.47,16.75,34.47,48.33,0.03,0.31,0.09,15,1.94,1.48,7.56,"37,614.49",4.61,10.59,22.32,2.73,6.64,11.41,1.96,2.87,6.65,10.22,20.02
FACGX,Topic 6,Large Growth,Fidelity Investments,5340000000,20.72,0,5,11/2/1997,Growth,Large,USD,1.81,1.06,3.88,91.76,0,0.3,4.06,0,21.89,4.04,2.61,12.37,"49,397.60",1.92,16.5,8.83,0.9,3.46,12.48,0.22,4.94,1.28,2.98,46.48
FACIX,Topic 6,Muni National Short,Fidelity Investments,65280000,0.39,1.31,4,5/18/2011,Value,Medium,USD,0.4,0.64,31.82,0,68.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACMX,Topic 3,Muni Minnesota,Nuveen,355290000,2.35,2.3,2,10/27/2009,Blend,Medium,USD,1.26,0.9,0.07,0,99.4,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACNX,Topic 3,Miscellaneous Region,Fidelity Investments,994160000,13.3,0.75,2,5/1/2007,Blend,Large,USD,1.21,1.62,0.47,99.53,0,0,0,0,15.62,1.84,1.41,9.09,"24,086.08",11.7,3.04,33.42,0.97,10.39,0.37,0,8.3,16.98,9.03,5.8
FACPX,Topic 1,Consumer Cyclical,Fidelity Investments,400400000,14.99,0,4,9/2/1996,Growth,Large,USD,1.38,1.32,0.28,99.72,0,0,0,0,22.46,5.73,1.75,14.27,"73,304.54",0,87.87,0.29,0,10.78,0,0,0,0,0,1.06
FACSX,Topic 3,Mid-Cap Value,Nuveen,333010000,12.06,0,3,1/31/1999,Value,Medium,USD,1.92,1.09,2.2,97.79,0,0,0,0,14.7,1.92,1.53,7.93,"11,393.64",5.27,10.72,18.33,16.75,2.56,7.59,11.61,0,6.65,11.24,9.27
FACTX,Topic 3,Health,Fidelity Investments,4030000000,10.3,0,4,9/2/1996,Growth,Large,USD,1.32,1.26,1.59,97.53,0,0,0.88,0,19.2,3.85,1.86,10.25,"27,310.85",0,0.12,0,0,0,97.51,0,0,0,0,2.37
FACVX,Topic 7,Convertibles,Fidelity Investments,1450000000,11.48,2.99,3,2/18/2009,Growth,Large,USD,0.76,1.22,0.7,10.62,0.35,0,11.55,76.78,14.34,3.6,2.59,5.92,"289,741.34",4.31,3.76,0,0,0,0,25.4,4.58,0,2.37,59.57
FADAX,Topic 7,Large Blend,Fidelity Investments,993150000,11.58,1.54,3,12/27/1998,Value,Large,USD,0.84,0.94,4.56,95.44,0,0,0,0,12.93,1.87,1.33,8.05,"80,257.37",1.06,9.79,28.91,0,7.1,4.9,1.07,10.43,6.79,23.51,6.44
FADCX,Topic 7,Foreign Large Growth,Fidelity Investments,1870000000,10.97,0,2,12/16/1998,Growth,Large,USD,1.95,1.13,4.65,95.35,0,0,0,0,16.52,2.27,1.73,10.43,"36,004.05",6.24,8.97,25.53,0.7,10.61,13.89,0.6,0.86,4.33,10.94,17.34
FADIX,Topic 10,Foreign Large Growth,Fidelity Investments,1870000000,11.11,0.5,2,12/16/1998,Growth,Large,USD,1.46,1.13,4.65,95.35,0,0,0,0,16.52,2.27,1.73,10.43,"36,004.05",6.24,8.97,25.53,0.7,10.61,13.89,0.6,0.86,4.33,10.94,17.34
FADLX,Topic 1,Short-Term Bond,Frost Funds,326390000,0.99,1.77,3,6/29/2008,Value,Large,USD,0.7,0.75,11.83,0,88.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FADTX,Topic 10,Technology,Fidelity Investments,2010000000,20.24,0,4,9/2/1996,Growth,Large,USD,1.05,1.31,0.11,98.35,0,0.41,1.13,0,22.14,6.73,4.35,13.99,"160,046.19",0,4.67,11.84,0,0,0.03,0,0,0,5.03,78.43
FADVX,Topic 10,Large Value,Frost Funds,54660000,11.65,1.34,2,6/29/2008,Value,Large,USD,0.94,1,5.26,94.74,0,0,0,0,13.24,1.88,1.55,3.37,"61,170.20",4.64,10.41,30.14,0,4.76,14.68,4.73,3.68,9.27,10.11,7.57
FAEGX,Topic 3,Large Growth,Fidelity Investments,3270000000,16.4,0,4,9/9/1992,Growth,Large,USD,1.25,1.06,0.41,98.76,0,0,0.83,0,24.17,4.4,3.84,15.96,"79,510.13",2.24,14.84,12.88,1.04,4.42,15.41,0,2.87,2.34,7.23,36.73
FAERX,Topic 10,Foreign Large Growth,Fidelity Investments,599280000,11.01,0.64,2,4/22/1990,Growth,Large,USD,1.44,1.13,1.57,98.43,0,0,0,0,16.76,2.46,1.67,10.01,"18,659.04",5.44,12.57,22.61,0.31,12.56,13.8,0.03,0.66,3.95,13.28,14.8
FAETX,Topic 10,Target-Date 2030,American Funds,21330000000,8.94,1.22,5,2/20/2014,Growth,Large,USD,0.74,0.44,8.08,64.11,27.57,0.04,0.08,0.05,16.15,2.39,1.87,7.88,"70,774.24",4.72,11.46,13.42,2.06,8.2,15.68,3.11,3.44,8.45,9.11,20.35
FAEVX,Topic 10,Large Value,Fidelity Investments,230160000,9.77,1.98,3,1/31/2017,Value,Large,USD,0.59,1,6.49,93.51,0,0,0,0,13.35,1.83,1.36,6.94,"48,445.19",0.62,8.24,23.59,5.79,10.91,16.29,5.18,6.91,8.71,8.39,5.38
FAFAX,Topic 10,Target-Date Retirement,Fidelity Investments,225640000,4.46,1.73,2,7/23/2003,Blend,Large,USD,0.72,0.47,22.75,17.23,59.65,0.03,0.2,0.09,14.7,1.87,1.46,7.41,"35,325.20",5.08,10.71,22.95,2.9,6.59,10.49,1.89,2.59,6.6,10.34,19.86
FAFCX,Topic 10,Financial,Fidelity Investments,391540000,9.89,0.14,3,11/2/1997,Value,Large,USD,1.86,1.44,1.04,98.96,0,0,0,0,10.6,1.26,1.81,5.66,"31,515.36",0,0.71,95.17,3.18,0,0,0,0,0,0,0.94
FAFDX,Topic 1,Financial,Fidelity Investments,391540000,10.12,0.91,3,9/2/1996,Value,Large,USD,1.1,1.44,1.04,98.96,0,0,0,0,10.6,1.26,1.81,5.66,"31,515.36",0,0.71,95.17,3.18,0,0,0,0,0,0,0.94
FAFEX,Topic 10,Target-Date 2030,Fidelity Investments,2980000000,10.31,1.55,4,7/23/2003,Blend,Large,USD,0.95,0.44,7.22,67.93,24.21,0.04,0.51,0.08,15.21,2,1.49,7.69,"38,952.86",4.33,10.49,21.93,2.64,6.66,12.01,1.98,3.03,6.65,10.26,20.03
FAFFX,Topic 10,Target-Date 2040,Fidelity Investments,2180000000,12.12,1.43,3,7/23/2003,Blend,Large,USD,1,0.45,6.16,85.97,7.13,0.04,0.61,0.08,15.29,2.01,1.5,7.74,"39,127.08",4.29,10.5,21.83,2.61,6.64,12.12,1.96,3.04,6.6,10.31,20.1
FAFIX,Topic 10,Intermediate-Term Bond,Nuveen,330870000,4.25,2.76,4,12/21/1987,Blend,Medium,USD,0.77,0.76,1.46,0,94.29,0.71,1.31,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAFJX,Topic 5,Muni National Short,Nuveen,5300000000,1.86,1.06,3,2/9/2014,Value,Medium,USD,1.42,0.64,2.32,0,97.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAFKX,Topic 5,Muni Single State Long,Nuveen,283290000,2.62,2.4,3,2/9/2014,Growth,Medium,USD,1.63,0.94,0.1,0,97.66,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAFLX,Topic 4,Muni Single State Long,Nuveen,158970000,2.63,2.43,3,2/9/2014,Blend,Medium,USD,1.65,0.94,1.4,0,98.35,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAFMX,Topic 2,Muni Ohio,Nuveen,610950000,2.57,2.02,2,2/9/2014,Blend,Medium,USD,1.58,0.82,0.34,0,98.63,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAFNX,Topic 5,Muni Single State Long,Nuveen,233470000,2.3,1.78,2,2/9/2014,Blend,Medium,USD,1.66,0.94,1.38,0,97.33,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAFOX,Topic 5,Muni Single State Long,Nuveen,248810000,2.21,2.37,2,2/9/2014,Blend,Medium,USD,1.67,0.94,1.46,0,97.96,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAFPX,Topic 4,Muni Single State Long,Nuveen,530920000,2.55,2.5,2,2/9/2014,Growth,Medium,USD,1.58,0.94,0.17,0,99.31,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAFRX,Topic 7,Bank Loan,Franklin Templeton Investments,3220000000,2.47,4.95,3,4/30/2001,Value,Small,USD,0.87,1.06,5.03,0.35,90.08,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
FAFSX,Topic 7,Financial,Fidelity Investments,391540000,10.05,0.65,3,9/2/1996,Value,Large,USD,1.37,1.44,1.04,98.96,0,0,0,0,10.6,1.26,1.81,5.66,"31,515.36",0,0.71,95.17,3.18,0,0,0,0,0,0,0.94
FAFTX,Topic 4,Muni National Long,Franklin Templeton Investments,10600000000,2.57,3.75,3,3/19/2002,Blend,Medium,USD,0.52,0.85,1.07,0,98.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAFWX,Topic 4,Allocation - 30% to 50% Equity,American Funds,645310000,5.54,2.43,2,8/27/2015,Value,Large,USD,0.69,0.79,8.23,35.86,55.42,0.06,0.15,0.12,15.14,2.23,1.83,8.53,"79,179.32",4.65,7.79,13.16,5.66,10.86,14.77,6.57,5.74,10.12,7.59,13.09
FAGAX,Topic 7,Large Growth,Fidelity Investments,5340000000,20.96,0,5,9/2/1996,Growth,Large,USD,1.05,1.06,3.88,91.76,0,0.3,4.06,0,21.89,4.04,2.61,12.37,"49,397.60",1.92,16.5,8.83,0.9,3.46,12.48,0.22,4.94,1.28,2.98,46.48
FAGCX,Topic 7,Large Growth,Fidelity Investments,5340000000,21.04,0,5,7/2/1995,Growth,Large,USD,0.78,1.06,3.88,91.76,0,0.3,4.06,0,21.89,4.04,2.61,12.37,"49,397.60",1.92,16.5,8.83,0.9,3.46,12.48,0.22,4.94,1.28,2.98,46.48
FAGIX,Topic 7,High Yield Bond,Fidelity Investments,11430000000,10.1,4.81,5,10/31/1977,Growth,Large,USD,0.67,1.02,5.22,21.15,71.55,0,1.31,0.77,13.91,2.57,1.63,7.09,"32,092.68",3.6,21.55,10.2,1.78,2.19,9.61,4.55,6.12,3.86,15.41,21.12
FAGKX,Topic 7,Mid-Cap Growth,Fidelity Investments,2650000000,16.37,0.77,3,5/8/2008,Growth,Large,USD,0.46,1.19,1.69,98.31,0,0,0,0,21.86,4.92,2.77,16.45,"18,078.57",0.32,13.34,11.07,1.39,6.35,14.25,0.6,1.11,0.39,17.89,33.31
FAGNX,Topic 2,Equity Energy,Fidelity Investments,672470000,15.45,0.35,4,12/28/1987,Blend,Large,USD,1.38,1.37,0.63,99.37,0,0,0,0,16.56,1.68,0.94,4.29,"22,676.23",0.61,0,0,0.07,0,0,0,0,97.64,1.11,0.57
FAGOX,Topic 7,Large Growth,Fidelity Investments,5340000000,20.88,0,5,11/17/1987,Growth,Large,USD,1.28,1.06,3.88,91.76,0,0.3,4.06,0,21.89,4.04,2.61,12.37,"49,397.60",1.92,16.5,8.83,0.9,3.46,12.48,0.22,4.94,1.28,2.98,46.48
FAHCX,Topic 7,High Yield Bond,Fidelity Investments,1820000000,10.38,5.63,5,7/2/1995,Blend,Medium,USD,0.75,1.02,2.05,20.44,75.96,0,0.93,0.62,11.15,1.63,1.02,4.44,"10,886.58",7.15,23.4,5.46,0,2.56,5.18,9.93,5.88,8.39,11.5,20.55
FAHDX,Topic 4,High Yield Bond,Fidelity Investments,1820000000,10.22,5.31,5,1/4/1987,Blend,Medium,USD,0.99,1.02,2.05,20.44,75.96,0,0.93,0.62,11.15,1.63,1.02,4.44,"10,886.58",7.15,23.4,5.46,0,2.56,5.18,9.93,5.88,8.39,11.5,20.55
FAHEX,Topic 9,High Yield Bond,Fidelity Investments,1820000000,10.02,4.55,5,11/2/1997,Blend,Medium,USD,1.75,1.02,2.05,20.44,75.96,0,0.93,0.62,11.15,1.63,1.02,4.44,"10,886.58",7.15,23.4,5.46,0,2.56,5.18,9.93,5.88,8.39,11.5,20.55
FAHIX,Topic 8,Muni National Long,Fidelity Investments,1100000000,-1.47,2.57,3,9/15/1987,Growth,Medium,USD,0.79,0.85,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAHYX,Topic 8,High Yield Bond,Fidelity Investments,1820000000,10.26,5.3,5,1/4/1987,Blend,Medium,USD,0.98,1.02,2.05,20.44,75.96,0,0.93,0.62,11.15,1.63,1.02,4.44,"10,886.58",7.15,23.4,5.46,0,2.56,5.18,9.93,5.88,8.39,11.5,20.55
FAIDX,Topic 2,Foreign Large Growth,Fidelity Investments,9200000000,11.68,0.79,2,1/5/2005,Growth,Large,USD,1.22,1.13,1.52,98.32,0,0.17,0,0,16.87,2.45,1.66,10.31,"29,573.60",5.58,8.67,18.88,1.87,12.38,12.3,0.7,2.08,6.61,15.17,15.77
FAIGX,Topic 9,Allocation - 50% to 70% Equity,Fidelity Investments,3550000000,10.36,0.93,4,1/5/1987,Blend,Large,USD,1.12,0.82,5.8,63.15,28.86,2.09,0.08,0,15.37,2.52,1.69,8.8,"62,850.12",2.41,11.84,14.37,2.19,7.06,15.73,3.03,3.42,5.08,8.65,26.21
FAIIX,Topic 4,Intermediate-Term Bond,Nuveen,125430000,3.47,2.6,3,1/8/1995,Blend,Medium,USD,0.78,0.76,0.17,0,99.58,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAINX,Topic 10,Allocation - 70% to 85% Equity,American Money Management,8540000,8.99,0.53,3,11/12/2006,Blend,Large,USD,2.09,0.77,9.02,71.36,16.53,0,3.08,0,16.51,3.41,3.29,12.11,"112,016.25",3.79,18.26,22.74,0,10.15,17.7,0,0,0,15.36,12.01
FAIOX,Topic 10,Allocation - 50% to 70% Equity,Fidelity Investments,3550000000,10.55,1.41,5,7/2/1995,Blend,Large,USD,0.61,0.82,5.8,63.15,28.86,2.09,0.08,0,15.37,2.52,1.69,8.8,"62,850.12",2.41,11.84,14.37,2.19,7.06,15.73,3.03,3.42,5.08,8.65,26.21
FAIPX,Topic 10,Inflation-Protected Bond,Nuveen,623640000,3,2.01,3,9/30/2004,Blend,Large,USD,0.78,0.81,0.97,0,98.78,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAIRX,Topic 10,Large Value,Fairholme,1130000000,19.62,1.86,1,12/28/1999,Growth,Small,USD,1,1,42.36,33.65,12.86,0,11.13,0,151.9,1.63,3.54,13.95,868.33,1.79,3.09,0,95.13,0,0,0,0,0,0,0
FAITX,Topic 2,Target-Date 2050,American Funds,8910000000,11.36,0.85,5,2/20/2014,Growth,Large,USD,0.77,0.45,7.95,83.21,8.69,0.04,0.08,0.02,16.49,2.45,1.89,7.82,"62,690.81",4.63,12.48,13.38,1.47,7.53,16.13,2.47,2.89,7.73,9.37,21.92
FAIVX,Topic 8,Large Value,Fidelity Investments,230160000,9.77,1.81,3,5/8/2001,Value,Large,USD,0.73,1,6.49,93.51,0,0,0,0,13.35,1.83,1.36,6.94,"48,445.19",0.62,8.24,23.59,5.79,10.91,16.29,5.18,6.91,8.71,8.39,5.38
FAJTX,Topic 8,Target-Date 2055,American Funds,4630000000,11.35,0.82,5,2/20/2014,Growth,Large,USD,0.77,0.45,7.95,83.22,8.69,0.04,0.08,0.02,16.49,2.45,1.89,7.82,"62,674.59",4.63,12.48,13.38,1.47,7.53,16.13,2.47,2.89,7.73,9.37,21.92
FAKDX,Topic 8,Large Value,Kempner,72970000,10.77,1.8,1,6/29/2008,Value,Large,USD,1.21,1,5.22,94.78,0,0,0,0,11.18,1.51,0.64,2.28,"57,771.32",4.87,13.61,19.98,0,3.7,18.65,0,6.97,15.91,4.44,11.87
FAKSX,Topic 8,Mid-Cap Blend,Frost Funds,6230000,13.87,0.08,3,2/12/2012,Blend,Medium,USD,1.51,1.06,0.74,99.26,0,0,0,0,18.21,2.29,1.66,10.21,"10,733.65",4.43,7.23,13.7,10.4,11.01,13.51,6.9,0,7.96,10.31,14.55
FAKTX,Topic 2,Target-Date 2015,American Funds,5010000000,6.35,1.87,4,2/20/2014,Blend,Large,USD,0.7,0.43,7.73,42.23,49.57,0.05,0.13,0.15,15.31,2.3,1.86,7.95,"84,975.79",4.68,8.8,13.18,3.79,9.89,15.31,4.99,4.88,9.57,8.62,16.29
FALAX,Topic 8,Large Blend,Fidelity Investments,1160000000,14,1.36,3,9/2/1996,Value,Large,USD,0.92,0.94,1.98,97.14,0.13,0.75,0,0,14.06,2.11,1.14,6.23,"84,111.08",1.17,3.71,21.55,0.51,9.4,16.39,0.84,5.22,12.38,13.26,15.56
FALEX,Topic 8,Muni Single State Long,Franklin Templeton Investments,237230000,2.35,2.44,2,4/30/1995,Blend,Large,USD,1.29,0.94,1.32,0,98.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALGX,Topic 9,Large Blend,Fidelity Investments,1160000000,13.94,1.09,3,2/19/1996,Value,Large,USD,1.18,0.94,1.98,97.14,0.13,0.75,0,0,14.06,2.11,1.14,6.23,"84,111.08",1.17,3.71,21.55,0.51,9.4,16.39,0.84,5.22,12.38,13.26,15.56
FALIX,Topic 10,Large Blend,Fidelity Investments,1160000000,14.07,1.56,4,2/19/1996,Value,Large,USD,0.66,0.94,1.98,97.14,0.13,0.75,0,0,14.06,2.11,1.14,6.23,"84,111.08",1.17,3.71,21.55,0.51,9.4,16.39,0.84,5.22,12.38,13.26,15.56
FALRX,Topic 2,Muni Single State Long,Franklin Templeton Investments,237230000,2.46,3.15,3,7/31/2017,Blend,Large,USD,0.62,0.94,1.32,0,98.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALTX,Topic 10,Short-Term Bond,Nuveen,430860000,1.37,1.95,3,12/13/1992,Value,Medium,USD,0.72,0.75,0.26,0,99,0.39,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALZX,Topic 4,Muni Single State Long,Franklin Templeton Investments,237230000,2.46,3.12,3,9/14/2016,Blend,Large,USD,0.64,0.94,1.32,0,98.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAMAX,Topic 4,Muni Minnesota,Nuveen,355290000,2.48,2.77,3,2/24/1994,Blend,Medium,USD,0.81,0.9,0.07,0,99.4,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAMCX,Topic 4,Muni National Long,Fidelity Investments,1100000000,-1.53,1.81,2,11/2/1997,Growth,Medium,USD,1.56,0.85,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAMDX,Topic 2,Small Blend,FAM,174600000,11.77,0,2,1/3/2016,Blend,Small,USD,1.21,1.15,7.16,92.84,0,0,0,0,15.8,1.42,0.87,10,"1,445.51",0,18.94,18.78,8.44,5.65,7.32,0,0,2.8,31.33,6.74
FAMEX,Topic 4,Mid-Cap Blend,FAM,291020000,15.45,0.68,5,3/31/1996,Growth,Medium,USD,1.26,1.06,9.54,90.46,0,0,0,0,20.08,3.84,2.28,13.92,"16,037.36",7.89,10.56,13.06,4.4,1.46,6.31,2.6,0,3.06,30.04,20.61
FAMFX,Topic 5,Small Blend,FAM,174600000,11.68,0,3,2/29/2012,Blend,Small,USD,1.34,1.15,7.16,92.84,0,0,0,0,15.8,1.42,0.87,10,"1,445.51",0,18.94,18.78,8.44,5.65,7.32,0,0,2.8,31.33,6.74
FAMHX,Topic 10,Muni National Interm,Fidelity Investments,19210000,3.01,1.79,0,5/24/2017,Blend,Medium,USD,0.65,0.75,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAMKX,Topic 10,Diversified Emerging Mkts,Fidelity Investments,812650000,15.28,0.13,4,3/28/2004,Growth,Large,USD,1.44,1.36,1.96,98.04,0,0,0,0,18.13,3.24,3.09,7.68,"56,302.75",7.35,12.04,23.4,1.97,11.75,2.67,0.89,0,6.66,4.57,28.72
FAMRX,Topic 2,Allocation - 70% to 85% Equity,Fidelity Investments,2530000000,11.98,1.17,4,9/23/1999,Growth,Large,USD,0.73,0.77,5.97,80.02,10.04,3.81,0.16,0,15.15,2.07,1.59,7.85,"39,961.81",3.89,11.61,17.08,4.31,7.78,12.97,3.17,2.75,5.42,9.89,21.13
FAMTX,Topic 4,Muni Minnesota,Nuveen,355290000,2.43,2.96,4,2/24/1994,Blend,Medium,USD,0.61,0.9,0.07,0,99.4,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAMUX,Topic 4,Muni National Long,Fidelity Investments,1100000000,-1.47,2.56,3,9/2/1996,Growth,Medium,USD,0.81,0.85,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
